param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_oob_score,param_warm_start,params,mean_test_score,std_test_score,rank_test_score
6,log2,20,0.1,3,5,280,False,False,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 280, 'oob_score': False, 'warm_start': False}",0.8948775884535849,0.008881594166292469,11
19,log2,30,0.1,2,6,111,True,False,"{'max_depth': 19, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 111, 'oob_score': True, 'warm_start': False}",0.8938666397552476,0.009066670109939268,12
4,log2,30,0.1,2,7,103,False,True,"{'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 103, 'oob_score': False, 'warm_start': True}",0.8926762697940568,0.010099217610903585,13
1,,40,0.2,1,6,267,True,False,"{'max_depth': 1, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 267, 'oob_score': True, 'warm_start': False}",0.8621568439987536,0.011967059364851132,14
12,,20,0.2,1,9,212,True,False,"{'max_depth': 12, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 212, 'oob_score': True, 'warm_start': False}",0.861205029602561,0.011606075023441208,15
18,,40,0.1,1,5,237,False,False,"{'max_depth': 18, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 237, 'oob_score': False, 'warm_start': False}",0.860074750007082,0.011385903436508749,16
7,sqrt,20,0.4,4,6,209,True,False,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 209, 'oob_score': True, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
13,,,0.3,1,9,437,False,False,"{'max_depth': 13, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 437, 'oob_score': False, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
7,sqrt,20,0.4,1,8,171,True,False,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 171, 'oob_score': True, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
15,,30,0.4,4,8,84,False,False,"{'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 84, 'oob_score': False, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
16,,20,0.3,3,5,369,True,False,"{'max_depth': 16, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 369, 'oob_score': True, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
2,log2,10,0.3,1,2,363,False,False,"{'max_depth': 2, 'max_features': 'log2', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 363, 'oob_score': False, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
11,,40,0.3,4,9,180,False,False,"{'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 180, 'oob_score': False, 'warm_start': False}",0.502706899237982,8.976374606950444e-05,17
6,,,0.4,1,4,283,False,True,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 283, 'oob_score': False, 'warm_start': True}",0.502706899237982,8.976374606950444e-05,17
15,,,0.3,1,7,491,False,True,"{'max_depth': 15, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 491, 'oob_score': False, 'warm_start': True}",0.502706899237982,8.976374606950444e-05,17
